"name";"uspeh";"deleted";"idx";"descr";"fast_order"
"Успешный";true;false;1;"null";null
"Ложный вызов";false;false;4;"Отмена заказа в диспетчерской службе.";true
"Сняли заказ";false;false;5;"Вы отменили заказ.";true
"Нет свобод а/м";false;false;6;"К сожалению, поблизости нет свободных автомобилей.";null
"Тел не доступен";false;false;7;"Не удалось с Вами связаться по указанному номеру телефона.";true
"Тел не берут";false;false;8;"null";true
"Тел занят";false;false;9;"null";true
"Тел не верный";false;false;10;"Не удалось с Вами связаться по указанному номеру телефона.";true
"По вине клиента";false;false;11;"Отмена заказа в диспетчерской службе.";true
"По вине водителя";false;false;12;"Отмена заказа в диспетчерской службе.";null
"Заказ для вод. снят";false;false;13;"Заказ снят, водитель не взял заказ для него";null
"Передали в такси Россия";false;false;14;"Передали в такси Россия";null
